Drive,Predicted_TTF,Status,smart_1_raw,smart_3_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_10_raw,smart_12_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,issues
28,89.52,preventative measures,0,4058,61,0,0.0,35897,0,59,17.0,43.0,37.0,0,0,0,0.0,{'SMART 3: Spin-Up Time': 'Warning'}
33,92.52,preventative measures,112868392,0,3,0,4.8391576e-317,938,0,3,0.0,30530.0,27.0,0,0,0,3.45e-321,{}
41,146.43,preventative measures,197660544,0,8,0,2.1719563e-315,8269,0,8,0.0,2356.0,23.0,0,0,0,4.075e-320,{}
43,99.57,preventative measures,100086048,0,2,0,1.21469905e-315,6346,0,2,0.0,19492.0,20.0,0,0,0,3.076e-320,{}
57,86.79,preventative measures,0,4133,16,0,0.0,36259,0,15,6.0,9.0,29.0,0,0,0,0.0,{'SMART 3: Spin-Up Time': 'Warning'}
73,108.3,preventative measures,140764072,0,13,0,3.077317134e-315,26775,0,13,0.0,140266.0,33.0,0,0,0,8.3776393840466e-310,{}
86,102.18,preventative measures,0,650,136,0,0.0,2486,0,136,38.0,25907.0,30.0,0,0,0,0.0,{}
90,115.32,preventative measures,234302552,0,10,0,1.680604773e-315,17363,0,10,7.0,7485.0,26.0,0,0,0,8.5617e-320,{}
108,146.47,preventative measures,76062568,0,2,0,6.8620807e-316,2269,0,2,0.0,2102.0,23.0,0,0,0,1.117e-320,{}
126,91.92,preventative measures,0,0,4,0,0.0,10951,0,4,134.0,134.0,22.0,0,0,0,0.0,{}
144,82.68,preventative measures,194949336,0,13,0,6.3502174e-316,16351,0,13,2.0,28183.0,23.0,0,0,2,8.0207e-320,{}
146,90.37,preventative measures,115686024,0,1,0,2.840018555e-315,9511,0,1,0.0,86.0,33.0,0,0,0,4.6986e-320,{}
151,89.46,preventative measures,87730256,0,56,672,3.017957503e-315,23486,0,56,26.0,179122.0,35.0,0,0,0,1.08582524736414e-310,{'SMART 5: Reallocated Sectors Count': 'Critical'}
164,137.52,preventative measures,201239696,0,4,0,2.70583485e-316,1405,0,4,0.0,10238.0,33.0,0,0,0,6.324e-321,{}
179,96.06,preventative measures,13212072,0,14,0,2.18054917e-315,19517,0,14,6.0,25971.0,31.0,0,0,0,8.940817066609e-310,{}
188,123.8,preventative measures,5,641,48,23,0.0,47473,0,48,792.0,792.0,28.0,2,0,0,0.0,"{'SMART 5: Reallocated Sectors Count': 'Critical', 'SMART 197: Current Pending Sector Count': 'Warning'}"
190,198.59,preventative measures,85309056,0,4,0,4.740338e-316,2051,0,4,0.0,2309.0,33.0,0,0,0,9.743e-321,{}
